Area: 1218, x: [98292, 50082], y: [98292, 51299]
Area: 306936, x: [98292, 50082], y: [98041, 51299]
Area: 670663, x: [98292, 50082], y: [2484, 50076]
Area: 25802, x: [98292, 50082], y: [94607, 50076]
Area: 5049820, x: [98292, 50082], y: [94607, 48713]
Area: 131347380, x: [98292, 50082], y: [2419, 48713]
Area: 247450794, x: [98292, 50082], y: [2419, 47502]
Area: 247585006, x: [98292, 50082], y: [2367, 47502]
Area: 362408428, x: [98292, 50082], y: [2367, 46305]
Area: 361694386, x: [98292, 50082], y: [2556, 46305]
Area: 480025318, x: [98292, 50082], y: [2556, 45069]
Area: 481213636, x: [98292, 50082], y: [2319, 45069]
Area: 596478410, x: [98292, 50082], y: [2319, 43868]
Area: 595334850, x: [98292, 50082], y: [2503, 43868]
Area: 716413410, x: [98292, 50082], y: [2503, 42604]
Area: 718148538, x: [98292, 50082], y: [2271, 42604]
Area: 835871510, x: [98292, 50082], y: [2271, 41378]
Area: 835044535, x: [98292, 50082], y: [2366, 41378]
Area: 943921680, x: [98292, 50082], y: [2366, 40243]
Area: 938352240, x: [98292, 50082], y: [2932, 40243]
Area: 1041818925, x: [98292, 50082], y: [2932, 39158]
Area: 1034116800, x: [98292, 50082], y: [3637, 39158]
Area: 1144391040, x: [98292, 50082], y: [3637, 37993]
Area: 1140582690, x: [98292, 50082], y: [3952, 37993]
Area: 1262565603, x: [98292, 50082], y: [3952, 36700]
Area: 1264372308, x: [98292, 50082], y: [3817, 36700]
Area: 1377554556, x: [98292, 50082], y: [3817, 35502]
Area: 1373909306, x: [98292, 50082], y: [4067, 35502]
Area: 1477275228, x: [98292, 50082], y: [4067, 34405]
Area: 1468479870, x: [98292, 50082], y: [4628, 34405]
Area: 1578255250, x: [98292, 50082], y: [4628, 33233]
Area: 1572576800, x: [98292, 50082], y: [4965, 33233]
Area: 1667211392, x: [98292, 50082], y: [4965, 32219]
Area: 1653974168, x: [98292, 50082], y: [5706, 32219]
Area: 1769985679, x: [98292, 50082], y: [5706, 30966]
Area: 1767175480, x: [98292, 50082], y: [5853, 30966]
Area: 1851018560, x: [98292, 50082], y: [5853, 30059]
Area: 1832135928, x: [98292, 50082], y: [6796, 30059]
Area: 1950624543, x: [98292, 50082], y: [6796, 28764]
Area: 1948513962, x: [98292, 50082], y: [6895, 28764]
Area: 2059014144, x: [98292, 50082], y: [6895, 27555]
Area: 2051917824, x: [98292, 50082], y: [7210, 27555]
Area: 2145733314, x: [98292, 50082], y: [7210, 26525]
Area: 2130020128, x: [98292, 50082], y: [7877, 26525]
Area: 2194938816, x: [98292, 50082], y: [7877, 25807]
Area: 2166171756, x: [98292, 50082], y: [9062, 25807]
Area: 2290292077, x: [98292, 50082], y: [9062, 24416]
Area: 2289034394, x: [98292, 50082], y: [9111, 24416]
Area: 2388472324, x: [98292, 50082], y: [9111, 23301]
Area: 2374331428, x: [98292, 50082], y: [9639, 23301]
Area: 2445786552, x: [98292, 50082], y: [9639, 22495]
Area: 2418529608, x: [98292, 50082], y: [10627, 22495]
Area: 2527849110, x: [98292, 50082], y: [10627, 21248]
Area: 2517526180, x: [98292, 50082], y: [10985, 21248]
Area: 2586499500, x: [98292, 50082], y: [10985, 20458]
Area: 2557348500, x: [98292, 50082], y: [11969, 20458]
Area: 2609833492, x: [98292, 50082], y: [11969, 19850]
Area: 2574037620, x: [98292, 50082], y: [13153, 19850]
Area: 2686677840, x: [98292, 50082], y: [13153, 18527]
Area: 2676832368, x: [98292, 50082], y: [13465, 18527]
Area: 2740198884, x: [98292, 50082], y: [13465, 17780]
Area: 2708057399, x: [98292, 50082], y: [14460, 17780]
Area: 2795579051, x: [98292, 50082], y: [14460, 16736]
Area: 2773403296, x: [98292, 50082], y: [15125, 16736]
Area: 2825216960, x: [98292, 50082], y: [15125, 16113]
Area: 2787714080, x: [98292, 50082], y: [16229, 16113]
Area: 2848277312, x: [98292, 50082], y: [16229, 15375]
Area: 2814645260, x: [98292, 50082], y: [17198, 15375]
Area: 2920717520, x: [98292, 50082], y: [17198, 14067]
Area: 2904582352, x: [98292, 50082], y: [17646, 14067]
Area: 2974180713, x: [98292, 50082], y: [17646, 13204]
Area: 2941948467, x: [98292, 50082], y: [18520, 13204]
Area: 2976889041, x: [98292, 50082], y: [18520, 12766]
Area: 2931175716, x: [98292, 50082], y: [19745, 12766]
Area: 3014436596, x: [98292, 50082], y: [19745, 11706]
Area: 2986881910, x: [98292, 50082], y: [20463, 11706]
Area: 3004782810, x: [98292, 50082], y: [20463, 11476]
Area: 2952701967, x: [98292, 50082], y: [21812, 11476]
Area: 3042184737, x: [98292, 50082], y: [21812, 10306]
Area: 3015931917, x: [98292, 50082], y: [22472, 10306]
Area: 3054373164, x: [98292, 50082], y: [22472, 9799]
Area: 3008811960, x: [98292, 50082], y: [23603, 9799]
Area: 3032563380, x: [98292, 50082], y: [23603, 9481]
Area: 2982338706, x: [98292, 50082], y: [24840, 9481]
